achieve,fam_back,ability,motivate,courses
43.79,0.54,111.71,40.24,4.29
65.14,2.23,131.25,46.66,8.19
46.2,-0.68,87.37,43.69,3.38
56.18,-0.6,118.66,38.26,4.56
43.1,-0.3,87.03,46.92,7.32
44.24,-0.88,94.63,52.69,0.02
33.08,-0.87,73.48,44.87,1.69
52.49,-0.53,97.41,38.59,0.71
66.77,0.6,108.42,61.92,4.72
54.93,0.49,111.17,59.09,8.03
21.18,-1.27,67.65,41.19,0.89
46.55,-1.74,86.92,38.76,3.46
56.95,-0.16,113.7,46.48,6.77
59.9,-1.22,97.31,43.75,3.82
66.26,1.79,131.73,58.01,6.7
45.27,0.96,87.47,39.99,5.65
52.83,-0.2,101.13,55.25,2.66
35.21,-2.2,60.46,38.29,1.55
58.82,-0.35,94.75,46.78,4.13
62.82,-0.42,137.01,58.73,5.76
44.67,0.5,118.17,43.12,4.12
49.2,-0.33,104.67,50.73,4.03
66.62,0.38,103.05,54.33,5.52
57.14,0.77,99.56,46.41,3.8
48.31,-0.26,93.51,52.45,6.32
64.74,0.75,92.94,63.69,5.57
74.93,1.28,124.22,50.06,7.27
58.95,0.05,103.37,56.14,7.96
36.37,-0.28,70.25,53.94,1.7
45.17,-0.84,92.87,34.74,4.12
38.53,1.08,90.13,47.51,2.63
60.88,-1.37,110.64,46.25,5.51
43.39,1.35,75.61,50.05,4.7
45.1,-0.91,90.12,45.42,1.81
50.7,-0.5,116.44,53.32,2.61
58.92,-0.31,121.52,61.71,4.33
40.61,1.06,97.49,35.33,4.54
42.52,-2.14,92.89,47.23,1.58
64.11,1.36,122.38,57.71,7.4
59.1,1.14,113.63,55.86,4.17
48.58,0.92,95.04,48.42,2.79
54.97,-0.14,102.27,51.23,4.7
54.32,-1.18,120.89,51.94,5.04
42.4,0.82,106,49.39,2.79
79.94,3.27,132.64,52.81,8.52
41.88,-0.78,97.15,69.72,5.52
54.18,1.06,113.96,55.52,4.35
69.65,0.4,113.79,58.98,6.53
41.49,-0.27,98.13,30.65,3.3
45.81,-0.74,91.78,62.12,4.75
64.09,0.65,132.51,63.73,4.78
46.1,0.48,80.52,42.51,3.53
59.12,0.55,106.11,79.87,4.72
55.09,1.7,129.69,64.94,4.98
58.19,-0.57,107.34,55.1,3.05
44.67,-0.47,94.87,65.94,4.78
49,-0.36,93.02,45.28,5.72
47.36,-1.32,80.33,44.02,2.82
44.45,-1.1,85.28,59.91,3.7
48.63,0.03,92,31.84,2.84
56.14,1.56,112.39,69.85,5.11
56.85,-0.65,93.64,35.64,3.42
40.31,-1.38,79.18,64.35,3.1
67.37,0.36,113.93,66.92,6.55
37.96,-0.27,87.55,36.85,0.74
70.78,1.57,124.72,41.61,4.32
44.3,-0.27,108.69,49.58,2.49
42.92,-0.86,97.94,36.73,-0.61
45.08,0.37,88.26,48.64,5.38
58.72,0.92,118.88,58.59,6.67
55.54,0.07,103.93,42.37,7.32
46.56,-0.7,101.71,29.39,5.64
53.79,-0.16,88.16,40.66,3.23
53.9,0.89,114.79,65.99,3.52
43.27,-0.27,101.9,56.76,1.81
44.26,-0.39,77.28,47.04,2.28
37.48,-0.61,101.34,35.14,0.5
55.27,0.53,108.93,44.48,1.67
50.14,-1.63,86.31,42.48,4.38
63.45,1.6,102.68,30.43,2.88
51.1,0.84,106.35,47.44,4.03
40.15,0.46,89.83,49.8,4.37
59.48,0.44,92.24,46.05,5.37
34.35,0.37,88.9,42.16,1.94
30.85,-1.71,72.92,48.65,4.47
54.16,0.21,84.57,40.3,3.07
33.18,-0.08,79.27,47.8,3.96
46.22,0.19,96.36,49.2,4.89
29.86,-1.63,71.96,55.55,3.9
35.78,1.27,100.34,30.01,3.46
49.77,0.85,98.52,42.8,3.14
33.59,-1.25,63.42,37.66,2.34
44.87,0.07,96.33,33.99,2.11
50.41,-0.53,100.08,48.73,3.31
49.64,-0.73,98.71,51.54,1.33
61.42,1.03,133.2,35.01,6.23
40.62,-1.6,98.76,55.98,4.1
45.09,0.94,100.75,50.07,5.03
51.42,-0.14,108.87,62.12,5.5
52.77,1.48,119.09,45.78,2.84
48.4,-0.06,95.6,55.73,5.75
35.83,-0.33,77.95,55.48,1.47
26.84,-1.74,80.51,29.8,0.95
53.14,-1.53,110.12,49.64,4.69
48.18,-0.89,114.71,38.36,4.77
67.63,0.69,115.96,64.37,7.74
53.7,0.29,92.35,55.32,4.26
43.41,-0.16,79.28,62.45,1.48
51.06,0.58,100.73,52.09,5.45
55.84,0.38,111.43,46.23,4.27
43.97,-1.15,88.11,46.77,2.56
48.79,-0.91,89.68,42.34,2.6
49.7,0.92,86.05,58.7,3.97
40.5,0.24,88.72,36.08,-1.42
60.53,0.86,103.11,49.48,6.41
54.51,1.31,101.41,54.59,3.23
57.24,-1.24,90.29,57.44,5.14
46,-0.01,101.45,54.27,6.9
59.41,0.12,109.86,55.25,5.91
48.9,0.79,92.36,71.85,5.04
46.65,1.87,108.89,35.17,1.14
49.3,-2.37,99.36,44.88,5.03
55.46,0.25,114.84,29.57,1.8
47.27,0.71,111.79,42.8,5.71
58.97,0.15,120.26,51.83,7.09
54.84,-1.44,87.73,44.99,3.31
59.36,1.16,104.42,60.82,6.6
38.66,-0.23,69.11,36.56,2.24
42.74,-0.11,84.83,37.42,2.49
48.22,-0.75,113.92,64.53,4.42
49.03,-1.26,89.63,45.8,1.1
53.23,1.38,110.39,66.76,4.64
44.84,-0.12,82.07,40.47,3.08
44.11,0.48,84.38,54.35,5.68
60.08,-0.78,103.65,49.03,6.66
42.72,-2.2,78.43,28.76,1.91
53.49,-0.51,106.7,33.99,1.85
43.78,0.46,80.61,61.18,4.01
61.69,0.29,107.41,64.56,6.8
53.85,0.62,102.17,34.88,3.57
45.89,-2.68,96.68,43.91,0.97
48.35,-0.08,122.3,54.74,1.31
45.65,-1.28,91.92,43.34,1.39
47.29,1.38,105.6,57.44,2.72
57.62,1.51,107.36,65.02,2.78
36.68,1.67,98.5,57.08,4.45
48.67,1.04,101.05,38.54,4.45
46.42,0.33,112.49,54.93,6.43
48.78,0.83,99.9,33.39,4.39
47.04,-0.23,110.62,61.86,5.13
43.48,-1.21,79.57,25.95,3.25
43.9,-0.13,102.57,56.9,3.85
53.22,0.02,109.19,69.56,5.86
54.33,-0.79,109.26,50.12,3.73
41.09,-1.28,80.55,44.27,2.61
47.9,0.45,109.83,49.2,3.67
51.27,-0.27,78.28,72.49,5.35
40.18,0.12,118,50.47,2.8
38.8,-2.53,96.81,50.1,5.89
57.55,1.35,112.68,48.7,5.93
43.06,-0.08,104.6,37.33,3.06
44.27,-0.38,93.4,45.88,1.21
50.41,-0.21,100.14,40.9,6.12
51.4,0.25,100.6,48.09,2.94
33.79,-0.31,81.8,41.03,-1.32
56.23,0.97,117.47,49.91,5.18
50.57,0.07,105.11,54.79,4.06
48.95,0.04,99.62,61.53,3.28
45.63,0.44,106.26,55.97,4.68
79.26,0.91,130.1,50.85,8.79
63.97,0,115.85,56.54,4
38.25,-1.35,87.95,57.73,3.08
36.35,-0.17,91.39,61.9,2.56
68.71,1.19,126.67,55.83,8.61
43.91,-1.63,85.69,59.67,3.45
55.79,-0.4,103.98,53.43,6.87
56.55,-0.23,112.39,50.04,3.33
36.63,0.89,92.17,40.94,1.15
49.3,0.61,100.96,53.09,3.21
50.85,1.56,92.1,47.24,4.94
57.28,1.39,129.69,60.94,7.24
46.6,0.36,92.73,36.59,1.07
56.92,0.42,112.39,49.45,5.4
56.48,-0.41,92.74,56.13,3.28
50.09,0.46,114.73,43.92,6.56
40.71,-0.2,81.93,51.49,1.31
