team,established,division,X2002,X2003,X2006,X2007,X2008,X2010,X2011,X2013,X2014,location,stadium,yearOpened,lat,lon,capacity
Montreal Canadiens,1909,Atlantic,192.81,221.1,332.27,388.24,361.25,474.44,486.28,431.34,410.04,"Montreal, Quebec",Bell Centre,1996,45.496067,-73.569315,21273
Nashville Predators,1998,Central,238.61,243.47,242.63,225.52,273.38,288.67,288.67,320.23,343.14,"Nashville, Tennessee",Bridgestone Arena,1996,36.159443,-86.778528,17113
New Jersey Devils,1982,Metropolitan,309.68,309.68,327.66,365.67,339.6,302.83,281.95,313.85,313.85,"Newark, New Jersey",Prudential Center,2007,40.73344,-74.171128,17625
New York Islanders,1972,Metropolitan,234.76,293.57,255.77,281.46,287.86,326.26,288.74,381,299.59,"Uniondale, New York",Nassau Veterans Memorial Coliseum,1972,40.722938,-73.590681,16170
New York Rangers,1926,Metropolitan,279.83,279.83,284.83,302.83,348.84,364.49,393.8,443.06,479.48,"Manhattan, New York City, New York",Madison Square Garden,1968,40.752,-73.993,18006
Ottawa Senators,1992,Atlantic,204.41,274.25,266.93,306.63,276.09,328.92,314.06,259.92,296.19,"Ottawa, Ontario",Canadian Tire Centre,1996,45.29871,-75.926323,19153
Philadelphia Flyers,1967,Metropolitan,310.72,318.22,314.15,313.38,322.8,329.59,364.56,367.49,386.11,"Philadelphia, Pennsylvania",Wells Fargo Center,1996,39.900666,-75.17142,19537
Pittsburgh Penguins,1967,Metropolitan,259.21,255.1,216.96,257.74,276.3,326.14,335.25,378.07,390.84,"Pittsburgh, Pennsylvania",Consol Energy Center,2010,40.439183,-79.989657,18387
San Jose Sharks,1991,Pacific,243.59,252.57,219,243.92,269.78,288.33,304.42,340.32,344.42,"San Jose, California",SAP Center at San Jose,1993,37.333046,-121.901189,17562
St. Louis Blues,1967,Central,248.2,248.6,197.39,175.41,193.26,245.28,249.27,308.55,327.32,"St. Louis, Missouri",Scottrade Center,1994,38.626786,-90.20267,19150
Tampa Bay Lightning,1993,Atlantic,183.71,214,265.09,262.75,250.64,226.93,228.93,267.92,281.02,"Tampa, Florida",Tampa Bay Times Forum,1996,27.942983,-82.451788,19204
Toronto Maple Leafs,1917,Atlantic,263.28,308.79,271.07,476.02,411.3,572.32,626.45,615.62,572.58,"Toronto, Ontario",Air Canada Centre,1999,43.644154,-79.378221,18819
Vancouver Canucks,1970,Pacific,211.89,259.1,325,384.78,334.43,357.02,371.94,479.53,456.35,"Vancouver, British Columbia",Rogers Arena,1995,49.278067,-123.108823,18910
Washington Capitals,1974,Metropolitan,244.95,264.4,230.61,231.9,244.64,327.29,354.67,393.48,411.94,"Washington, D.C.",Verizon Center,1997,38.898041,-77.020911,18506
Winnipeg Jets,2011,Central,,,,,,,485.52,419.04,413.04,"Winnipeg, Manitoba",MTS Centre,2004,49.893871,-97.14323,15004
