student,school,minority,sex,ses,math
112,1296,Yes,Male,-0.178,6.588
113,1296,Yes,Male,0.392,11.026
114,1296,Yes,Female,-0.358,7.095
115,1296,Yes,Male,-0.628,12.721
116,1296,Yes,Male,-0.038,5.52
117,1296,Yes,Female,0.972,7.353
118,1296,Yes,Female,0.252,7.095
119,1296,Yes,Female,0.332,9.999
120,1296,Yes,Male,-0.308,10.715
121,1308,No,Male,0.422,13.233
122,1308,No,Male,0.562,13.952
123,1308,Yes,Male,-0.058,13.757
124,1308,No,Male,0.952,13.97
125,1308,No,Male,0.622,23.434
126,1308,No,Male,0.832,9.162
127,1308,No,Male,1.512,23.818
128,1308,No,Male,0.622,15.998
129,1308,Yes,Male,0.332,16.039
130,1308,No,Male,0.442,24.993
131,1308,Yes,Male,0.582,15.657
132,1308,No,Male,1.102,16.258
133,1308,No,Male,0.892,10.546
134,1308,Yes,Male,0.802,17.615
135,1308,Yes,Male,-0.568,21.116
136,1308,Yes,Male,0.522,6.493
137,1308,Yes,Male,0.102,2.512
138,1308,Yes,Male,-0.348,22.393
139,1308,No,Male,0.552,21.488
140,1308,No,Male,0.682,22.676
141,1317,No,Female,0.882,12.862
142,1317,Yes,Female,0.932,8.961
143,1317,Yes,Female,-0.158,4.756
144,1317,Yes,Female,0.362,21.405
145,1317,No,Female,1.372,20.748
146,1317,Yes,Female,0.132,18.362
147,1317,No,Female,0.132,14.752
148,1317,Yes,Female,-0.008,11.29
149,1317,Yes,Female,-0.108,10.493
150,1317,Yes,Female,0.612,10.956
151,1317,Yes,Female,0.482,21.405
152,1317,No,Female,0.502,23.355
153,1317,Yes,Female,0.482,12.283
154,1317,Yes,Female,0.472,9.257
155,1317,No,Female,-0.578,11.502
156,1317,Yes,Female,1.152,20.039
157,1317,Yes,Female,-0.288,21.405
158,1317,Yes,Female,0.942,23.736
159,1317,Yes,Female,0.722,11.027
160,1317,Yes,Female,-0.108,17.203
161,1317,Yes,Female,1.462,10.661
162,1317,Yes,Female,-0.028,7.031
163,1317,No,Female,0.702,13.677
164,1317,Yes,Female,0.082,13.373
165,1317,Yes,Female,-0.108,10.121
166,1317,Yes,Female,0.322,10.394
167,1317,Yes,Female,0.302,6.973
168,1317,No,Female,-0.098,11.064
169,1317,Yes,Female,-0.848,11.531
170,1317,Yes,Female,-1.248,8.253
171,1317,Yes,Female,0.122,7.142
172,1317,Yes,Female,0.272,3.22
173,1317,No,Female,0.582,15.784
174,1317,Yes,Female,0.642,17.246
175,1317,Yes,Female,0.952,9.337
176,1317,Yes,Female,-0.258,15.555
177,1317,Yes,Female,0.492,8.382
178,1317,No,Female,0.992,11.621
179,1317,Yes,Female,0.832,4.81
180,1317,Yes,Female,-0.068,17.869
181,1317,Yes,Female,-0.088,8.057
182,1317,Yes,Female,0.972,11.794
183,1317,No,Female,0.542,18.939
184,1317,Yes,Female,0.132,20.261
185,1317,Yes,Female,-0.008,10.066
186,1317,No,Female,0.812,20.236
187,1317,No,Female,1.122,4.508
188,1317,No,Female,0.062,18.827
189,1358,Yes,Male,0.032,-1.347
190,1358,No,Female,-1.088,8.054
191,1358,No,Male,0.372,15.655
192,1358,No,Male,-0.568,11.648
193,1358,No,Male,-0.328,11.629
194,1358,No,Female,-0.018,18.687
195,1358,Yes,Male,-1.208,-0.827
196,1358,No,Male,-0.098,7.87
197,1358,No,Male,0.942,18.115
198,1358,No,Female,-1.408,3.792
199,1358,No,Male,0.122,11.03
200,1358,No,Female,0.362,7.564
201,1358,Yes,Female,-0.708,3.465
202,1358,No,Male,0.252,15.038
203,1358,No,Female,0.312,10.184
204,1358,No,Female,-0.678,2.933
205,1358,No,Male,-0.148,8.438
206,1358,No,Female,-0.168,7.519
207,1358,No,Male,1.092,18.735
208,1358,No,Female,0.232,10.19
209,1358,No,Male,0.422,16.294
210,1358,No,Male,1.282,10.65
211,1358,No,Male,-0.248,10.301
212,1358,No,Male,0.952,17.811
213,1358,No,Female,-0.038,14.646
214,1358,No,Female,-0.398,17.191
215,1358,No,Male,0.162,8.69
216,1358,No,Male,0.682,21.142
217,1358,No,Male,-0.668,16.499
218,1358,No,Male,-0.038,14.591
219,1374,No,Male,0.322,16.663
220,1374,Yes,Female,0.212,-2.155
221,1374,Yes,Female,0.682,0.085
222,1374,No,Female,-0.148,18.804
223,1374,Yes,Female,-0.468,2.409
224,1374,No,Female,0.842,16.759
225,1374,Yes,Male,0.072,18.948
226,1374,No,Female,0.332,10.593
227,1374,No,Male,-0.858,15.557
228,1374,No,Male,0.902,23.419
229,1374,Yes,Male,1.242,0.333
230,1374,No,Male,-0.738,-2.002
231,1374,No,Male,0.362,24.041
232,1374,Yes,Male,0.712,-2.657
233,1374,No,Female,0.452,7.603
234,1374,Yes,Male,-0.598,5.803
235,1374,Yes,Male,-1.028,3.931
236,1374,No,Male,-0.338,8.268
237,1374,No,Male,-0.948,1.344
238,1374,Yes,Male,0.292,16.449
239,1374,No,Female,-1.218,2.881
240,1374,No,Female,0.492,20.93
241,1374,No,Male,1.152,22.086
242,1374,No,Female,-0.758,7.653
243,1374,No,Female,-0.298,8.082
244,1374,No,Female,-0.478,5.503
245,1374,No,Female,0.192,9.004
246,1374,No,Male,-0.738,12.063
247,1433,No,Male,0.812,12.907
248,1433,No,Male,1.332,18.496
249,1433,No,Male,-0.338,20.323
250,1433,No,Male,1.082,22.682
251,1433,No,Male,0.542,14.198
252,1433,No,Male,0.382,24.044
253,1433,No,Male,0.592,19.571
254,1433,No,Male,0.852,22.183
255,1433,No,Male,-0.368,16.676
256,1433,No,Male,1.022,23.327
257,1433,No,Male,0.712,16.394
258,1433,No,Male,0.272,23.032
259,1433,No,Male,1.182,18.586
260,1433,No,Male,-0.588,15.246
261,1433,No,Male,1.282,20.731
262,1433,No,Male,0.942,20.447
263,1433,No,Male,1.512,23.572
264,1433,No,Male,0.222,17.571
265,1433,No,Male,0.992,24.993
266,1433,No,Male,1.362,24.421
267,1433,No,Male,0.482,11.478
268,1433,No,Male,1.292,24.812
269,1433,No,Male,1.072,22.093
270,1433,No,Male,0.562,18.716
271,1433,No,Male,-0.218,23.392
272,1433,No,Male,1.512,15.992
273,1433,No,Male,0.772,13.254
274,1433,No,Male,0.952,24.812
275,1433,No,Male,1.392,22.086
276,1433,Yes,Male,1.002,24.479
277,1433,No,Male,0.932,16.724
278,1433,No,Male,-0.458,20.628
279,1433,No,Male,-0.198,14.544
280,1433,No,Male,0.952,19.033
281,1433,No,Male,1.072,18.727
282,1436,No,Male,0.222,24.133
283,1436,No,Male,-0.078,18.77
284,1436,No,Male,1.512,21.803
285,1436,No,Male,0.212,9.561
286,1436,No,Female,0.792,15.132
287,1436,No,Female,1.342,22.387
288,1436,No,Male,0.242,22.578
289,1436,No,Male,-0.298,18.763
290,1436,No,Male,-1.038,18.301
291,1436,No,Male,0.682,15.879
292,1436,No,Male,0.802,20.424
293,1436,No,Male,0.952,23.072
294,1436,No,Female,1.002,13.12
295,1436,No,Male,1.142,18.844
296,1436,No,Female,0.482,17.495
297,1436,No,Female,1.512,15.615
298,1436,No,Female,0.242,11.001
299,1436,No,Female,1.222,17.103
300,1436,No,Female,-0.298,21.56
301,1436,No,Male,-0.338,19.419
302,1436,No,Female,1.042,18.471
303,1436,No,Male,0.672,22.868
304,1436,No,Male,0.732,14.138
305,1436,No,Male,0.822,23.271
306,1436,No,Male,0.362,13.472
307,1436,No,Male,-0.318,17.465
308,1436,No,Male,0.682,16.038
309,1436,No,Male,0.712,22.455
310,1436,No,Male,0.542,18.984
311,1436,No,Male,0.252,12.535
312,1436,No,Female,0.482,16.568
313,1436,No,Male,-0.028,22.592
314,1436,No,Male,0.252,16.886
315,1436,No,Male,0.702,22.985
316,1436,No,Female,0.212,6.798
317,1436,No,Female,0.342,5.51
318,1436,No,Male,1.342,24.479
319,1436,No,Female,1.512,18.827
320,1436,No,Female,1.212,20.268
321,1436,No,Male,1.122,24.993
322,1436,No,Male,0.272,15.06
323,1436,No,Female,0.782,20.818
324,1436,No,Male,-0.018,18.33
325,1436,No,Male,0.772,18.14
326,1461,No,Female,0.042,12.962
327,1461,No,Female,1.282,24.545
328,1461,No,Female,1.122,13.314
329,1461,No,Female,1.172,16.929
330,1461,No,Female,-1.108,3.796
331,1461,No,Female,0.822,14.581
332,1461,No,Female,0.482,18.719
333,1461,No,Female,0.902,12.595
334,1461,No,Female,1.022,17.326
335,1461,No,Female,0.602,15.918
336,1461,No,Male,1.272,23.088
337,1461,No,Male,1.352,18.259
338,1461,No,Male,1.422,23.517
339,1461,No,Male,-0.108,14.157
340,1461,No,Male,-0.358,17.999
341,1461,No,Female,1.202,18.858
342,1461,No,Male,-0.778,22.183
343,1461,No,Female,1.102,24.993
344,1461,No,Female,1.012,20.928
345,1461,No,Male,1.262,22.461
346,1461,No,Male,1.392,18.322
347,1461,No,Female,-0.258,2.895
348,1461,No,Male,0.932,21.007
349,1461,No,Male,1.062,18.471
350,1461,No,Male,1.212,24.48
351,1461,No,Female,0.982,18.471
352,1461,No,Female,0.462,18.831
353,1461,No,Female,0.532,18.114
354,1461,No,Male,1.062,22.685
355,1461,No,Male,0.172,-0.338
356,1461,No,Female,0.492,21.09
357,1461,Yes,Male,-0.668,-2.832
358,1461,No,Female,1.262,17.483
359,1462,Yes,Male,0.162,1.967
360,1462,Yes,Male,-0.758,7.718
361,1462,Yes,Male,-0.708,19.043
362,1462,Yes,Male,-0.818,20.133
363,1462,Yes,Male,-1.918,22.289
364,1462,Yes,Male,-0.948,14.277
365,1462,Yes,Male,-0.798,10.189
366,1462,Yes,Male,-1.458,9.607
367,1462,Yes,Male,-0.158,6.125
368,1462,Yes,Male,-0.378,23.818
369,1462,Yes,Male,-1.068,6.34
370,1462,Yes,Male,-0.808,9.437
371,1462,Yes,Male,-1.648,8.168
372,1462,Yes,Male,-0.288,4.31
373,1462,Yes,Male,-0.328,6.986
374,1462,Yes,Male,-0.498,21.452
375,1462,Yes,Male,-0.158,9.167
376,1462,Yes,Male,-0.728,9.625
377,1462,Yes,Male,-0.948,0.722
378,1462,Yes,Male,-0.728,3.115
379,1462,Yes,Male,-1.508,23.066
380,1462,Yes,Male,-0.088,4.518
381,1462,Yes,Male,-0.638,5.337
382,1462,Yes,Male,-0.358,4.103
383,1462,Yes,Male,-0.658,15.794
384,1462,Yes,Male,-0.958,1.975
385,1462,Yes,Male,-1.208,2.693
386,1462,Yes,Male,-0.378,13.809
387,1462,Yes,Male,-0.918,7.964
388,1462,Yes,Male,0.222,2.142
389,1462,Yes,Male,0.312,6.035
390,1462,Yes,Male,-0.488,17.996
391,1462,No,Male,0.302,20.792
392,1462,Yes,Male,-0.868,9.909
393,1462,Yes,Male,-0.708,5.189
394,1462,Yes,Male,-1.178,7.772
395,1462,Yes,Male,-0.498,12.074
396,1462,Yes,Male,0.032,15.103
397,1462,Yes,Male,-1.318,11.252
398,1462,Yes,Male,-1.948,1.283
399,1462,Yes,Male,-0.738,16.975
400,1462,Yes,Male,-0.558,8.762
401,1462,Yes,Male,-0.518,6.789
402,1462,Yes,Male,-1.098,12.283
403,1462,Yes,Male,-0.778,11.479
404,1462,Yes,Male,-1.068,9.071
405,1462,Yes,Male,-0.388,9.474
406,1462,Yes,Male,0.222,12.089
407,1462,Yes,Male,0.112,16.534
408,1462,Yes,Male,-0.528,6.331
409,1462,Yes,Male,-0.398,10.386
410,1462,Yes,Male,-0.358,8.163
411,1462,Yes,Male,-0.598,18.801
412,1462,Yes,Male,-1.708,22.581
413,1462,Yes,Male,-0.268,16.095
414,1462,Yes,Male,-2.058,5.321
415,1462,Yes,Male,0.402,3.819
416,1477,No,Female,-0.178,14.15
417,1477,No,Male,-0.108,3.976
418,1477,No,Male,0.262,3.846
419,1477,Yes,Male,-0.358,5.238
420,1477,No,Female,0.982,9.349
421,1477,No,Female,0.462,23.765
422,1477,No,Male,-0.208,22.84
423,1477,No,Male,0.812,1.606
424,1477,No,Female,-0.388,19.269
425,1477,No,Male,0.282,17.191
426,1477,No,Male,0.012,16.288
427,1477,No,Male,0.392,7.106
428,1477,No,Male,-1.068,20.714
429,1477,No,Male,0.662,18.171
430,1477,No,Female,0.002,21.951
431,1477,No,Male,-0.388,-2.832
432,1477,No,Male,1.222,20.246
433,1477,Yes,Female,-0.368,21.75
434,1477,No,Female,-0.588,16.337
435,1477,No,Female,0.642,16.061
436,1477,No,Female,0.892,11.724
437,1477,No,Female,1.152,19.401
438,1477,No,Female,-0.518,2.186
439,1477,No,Female,0.002,23.204
440,1477,No,Male,0.202,12.755
441,1477,No,Male,1.512,14.076
442,1477,No,Male,-0.238,22.493
443,1477,No,Male,0.022,22.714
444,1477,No,Male,0.562,11.031
445,1477,No,Female,-0.658,18.777
446,1477,No,Male,0.352,24.107
447,1477,No,Female,0.702,23.004
448,1477,Yes,Male,-0.588,8.136
449,1477,No,Female,0.152,10.714
450,1477,No,Female,-0.218,12.59
451,1477,No,Male,0.932,14.732
452,1477,No,Female,1.312,22.396
453,1477,No,Male,0.352,16.304
454,1477,No,Male,-0.748,16.19
455,1477,No,Female,0.652,7.275
456,1477,No,Female,0.652,14.809
457,1477,No,Male,0.042,-0.203
458,1477,No,Male,-0.808,17.967
459,1477,No,Male,1.342,24.247
460,1477,No,Female,1.512,6.946
461,1477,No,Male,0.492,17.791
462,1477,No,Female,0.152,8.856
463,1477,No,Male,-0.818,10.349
464,1477,No,Female,-0.918,9.44
465,1477,No,Female,1.072,4.999
466,1477,No,Female,0.252,7.873
467,1477,No,Male,-0.548,17.007
468,1477,No,Male,0.072,16.262
469,1477,No,Female,-1.408,0.466
470,1477,No,Male,0.052,18.887
471,1477,No,Male,-0.118,24.812
472,1477,No,Male,1.212,15.245
473,1477,No,Female,-0.268,14.958
474,1477,No,Male,-0.248,12.508
475,1477,No,Male,0.632,21.853
476,1477,No,Female,-0.158,20.844
477,1477,No,Female,-0.208,5.418
478,1499,No,Female,-0.678,5.608
479,1499,No,Female,-0.158,18.352
480,1499,No,Female,-0.468,5.949
481,1499,Yes,Female,-0.148,-1.462
482,1499,Yes,Female,-0.928,4.087
483,1499,No,Female,-0.218,10.258
484,1499,No,Male,0.662,21.791
485,1499,No,Male,-0.228,1.365
486,1499,No,Female,-0.368,1.73
487,1499,Yes,Female,0.342,5.093
488,1499,No,Male,0.692,17.572
489,1499,Yes,Male,-0.898,11.211
490,1499,Yes,Female,-0.578,6.018
491,1499,No,Female,-1.178,6.394
492,1499,Yes,Male,-1.608,14.681
493,1499,Yes,Male,-1.048,11.868
494,1499,Yes,Female,0.382,2.404
495,1499,No,Female,-0.958,2.042
496,1499,Yes,Female,0.432,11.685
497,1499,Yes,Male,-1.808,-0.818
498,1499,Yes,Female,-1.068,6.718
499,1499,No,Female,-0.008,13.72
500,1499,No,Male,0.222,21.907
501,1499,No,Female,-0.498,-2.195
502,1499,No,Female,-0.258,8.519
503,1499,Yes,Female,-1.788,1.679
504,1499,No,Female,-0.648,-1.744
505,1499,No,Female,-0.178,6.795
506,1499,Yes,Female,-1.078,4.179
507,1499,No,Male,-0.398,7.709
508,1499,No,Female,0.832,5.35
509,1499,Yes,Female,-0.678,0.259
510,1499,Yes,Male,-0.348,7.983
511,1499,No,Male,0.192,9.901
512,1499,Yes,Female,-1.468,2.497
513,1499,No,Female,0.362,23.542
514,1499,Yes,Female,-0.328,13.571
515,1499,No,Female,-0.148,21.421
516,1499,No,Female,-0.938,3.676
517,1499,Yes,Male,-0.018,4.856
518,1499,No,Female,0.842,14.056
519,1499,Yes,Male,-1.598,1.67
520,1499,No,Male,-0.218,8.401
521,1499,Yes,Male,-1.068,10.964
522,1499,No,Male,-0.628,11.955
523,1499,Yes,Female,-1.068,1.647
524,1499,No,Female,-1.118,4.267
525,1499,No,Male,-0.228,5.376
526,1499,No,Male,0.282,6.672
527,1499,Yes,Female,-1.818,8.532
528,1499,No,Female,0.542,5.681
529,1499,Yes,Male,-1.718,2.727
530,1499,No,Male,0.102,7.88
531,1637,No,Male,-0.158,4.213
532,1637,Yes,Male,-0.658,10.524
533,1637,No,Male,0.622,5.571
534,1637,Yes,Female,-1.748,4.062
535,1637,No,Male,0.232,9.826
536,1637,Yes,Female,-0.368,-0.538
537,1637,Yes,Female,-0.388,7.032
538,1637,Yes,Male,-1.238,-1.437
539,1637,No,Male,-0.968,3.77
540,1637,Yes,Female,-0.498,6.689
541,1637,Yes,Female,-0.028,-2.832
542,1637,Yes,Male,-1.688,1.74
543,1637,Yes,Female,-0.648,4.814
544,1637,Yes,Female,-0.688,7.723
545,1637,Yes,Female,-1.408,3.595
546,1637,No,Male,0.742,24.993
547,1637,Yes,Male,-1.948,17.621
548,1637,No,Female,-0.688,18.052
549,1637,Yes,Female,-1.518,7.138
550,1637,Yes,Female,-0.758,2.202
551,1637,No,Female,-1.278,6.065
552,1637,Yes,Female,-1.548,11.613
553,1637,Yes,Female,-0.708,-1.211
554,1637,Yes,Female,0.242,14.536
555,1637,Yes,Male,-1.748,-2.374
556,1637,No,Female,0.362,20.394
557,1637,Yes,Male,-0.568,5.87
558,1906,Yes,Female,0.132,14.449
559,1906,No,Female,0.382,20.455
560,1906,No,Female,1.082,22.826
561,1906,No,Female,-0.538,16.801
562,1906,Yes,Female,0.992,9.995
563,1906,No,Female,-0.588,23.482
564,1906,No,Male,0.822,17.985
565,1906,No,Male,0.702,14.63
566,1906,No,Male,1.012,16.667
567,1906,No,Male,0.602,14.171
568,1906,No,Female,-0.298,20.115
569,1906,No,Female,-0.518,4.805
570,1906,No,Male,0.592,22.107
571,1906,No,Female,0.382,21.122
572,1906,No,Female,0.152,10.484
573,1906,No,Female,-0.088,21.028
574,1906,No,Male,0.202,24.457
575,1906,No,Male,-0.278,0.901
576,1906,Yes,Male,-0.508,13.83
577,1906,No,Male,1.512,23.345
578,1906,No,Male,1.122,22.222
579,1906,No,Male,1.512,7.865
580,1906,No,Female,-0.068,14.798
581,1906,No,Female,0.462,11.586
582,1906,No,Female,0.362,7.297
583,1906,No,Male,1.082,21.556
584,1906,No,Female,1.512,18.386
585,1906,No,Male,0.802,23.062
586,1906,No,Male,0.272,12.15
587,1906,No,Male,1.152,24.247
588,1906,No,Female,1.122,18.531
589,1906,No,Male,-0.138,4.94
590,1906,No,Female,0.292,7.663
591,1906,No,Male,0.272,16.426
592,1906,No,Female,-0.138,24.479
593,1906,No,Male,1.292,22.59
594,1906,No,Male,1.422,18.189
595,1906,No,Male,0.952,15.602
596,1906,Yes,Male,0.002,11.04
597,1906,No,Female,0.532,12.916
598,1906,No,Female,1.512,6.992
599,1906,No,Female,1.012,24.479
600,1906,No,Male,-0.378,8.609
601,1906,No,Female,0.632,12.152
602,1906,No,Female,0.892,21.572
603,1906,No,Female,1.292,17.926
604,1906,Yes,Male,0.282,-1.603
605,1906,No,Male,0.102,23.231
606,1906,No,Female,1.012,10.257
607,1906,No,Female,-0.048,20.194
608,1906,No,Female,1.012,16.312
609,1906,No,Male,0.412,17.127
610,1906,No,Male,-0.188,20.66
611,1909,No,Male,0.482,12.165
612,1909,No,Female,0.272,18.478
613,1909,No,Female,-1.288,7.892
614,1909,No,Male,0.762,8.645
615,1909,No,Female,0.642,17.342
616,1909,No,Male,1.172,8.357
617,1909,No,Female,0.182,13.907
618,1909,No,Male,0.972,23.096
619,1909,No,Male,-0.028,7.539
620,1909,No,Male,1.022,23.286
621,1909,No,Female,0.892,14.593
622,1909,No,Male,-0.018,22.053
623,1909,No,Male,-0.478,12.5
624,1909,No,Male,1.512,23.93
625,1909,No,Female,-0.138,4.605
626,1909,No,Female,-0.718,15.322
627,1909,No,Male,-0.738,5.69
628,1909,No,Female,-0.148,18.638
629,1909,No,Female,0.892,17.06
630,1909,No,Male,0.532,19.385
631,1909,No,Male,-0.178,17.416
632,1909,No,Male,-0.118,20.664
633,1909,No,Female,0.312,22.585
634,1909,No,Male,-0.258,16
635,1909,No,Male,0.682,7.327
636,1909,No,Male,0.332,12.279
637,1909,No,Male,1.362,8.132
638,1909,No,Female,-0.968,4.967
639,1942,No,Female,0.802,16.387
640,1942,No,Female,1.072,24.993
641,1942,No,Female,0.702,21.084
642,1942,Yes,Male,0.922,22.337
643,1942,No,Male,1.372,12.398
644,1942,No,Male,0.412,24.041
645,1942,No,Male,1.162,23.856
646,1942,No,Male,-0.568,20.514
647,1942,No,Female,1.282,23.023
648,1942,No,Female,0.052,11.015
649,1942,No,Male,0.552,15.63
650,1942,No,Female,1.052,23.613
651,1942,No,Female,1.192,16.903
652,1942,No,Male,0.312,13.926
653,1942,No,Male,1.152,17.344
654,1942,No,Female,0.212,20.979
655,1942,No,Male,0.902,11.204
656,1942,No,Male,1.032,22.116
657,1942,No,Female,0.002,9.468
658,1942,No,Female,0.132,18.211
659,1942,No,Male,-0.298,22.681
660,1942,No,Female,0.442,21.991
661,1942,No,Female,0.642,14.13
662,1942,No,Female,1.242,20.088
663,1942,No,Male,1.192,24.479
664,1942,No,Female,0.442,22.288
665,1942,No,Female,1.512,3.209
666,1942,No,Female,0.532,14.702
667,1942,No,Male,0.322,12.606
668,1946,No,Male,1.002,24.993
669,1946,No,Female,-0.308,9.154
670,1946,No,Male,1.312,19.017
671,1946,No,Male,0.882,21.062
672,1946,No,Male,0.012,18.04
673,1946,Yes,Male,1.382,11.075
674,1946,No,Male,-0.278,7.84
675,1946,No,Male,0.462,22.326
676,1946,No,Female,0.052,1.755
677,1946,Yes,Female,-1.068,7.341
678,1946,No,Female,0.762,23.834
679,1946,No,Male,0.462,4.784
680,1946,No,Male,0.102,8.755
681,1946,No,Female,0.172,7.833
682,1946,No,Female,0.062,11.71
683,1946,No,Male,0.492,22.986
684,1946,No,Female,-0.758,16.863
685,1946,No,Female,0.632,2.913
686,1946,Yes,Male,-1.058,21.883
687,1946,No,Female,-0.648,6.358
688,1946,No,Female,-0.118,7.938
689,1946,No,Female,-1.378,7.937
690,1946,No,Female,0.492,22.254
691,1946,No,Male,-1.248,8.375
692,1946,Yes,Male,0.402,18.362
693,1946,No,Female,0.312,12.624
694,1946,No,Female,-0.588,14.393
695,1946,No,Male,-0.008,19.117
696,1946,No,Male,0.012,22.354
697,1946,No,Female,-0.458,17.672
698,1946,No,Female,-1.398,3.605
699,1946,No,Female,-0.128,7.778
700,1946,No,Male,0.792,14.635
701,1946,No,Female,-0.248,10.79
702,1946,No,Male,-0.158,6.149
703,1946,No,Female,-0.138,4.468
704,1946,No,Female,-0.318,3.209
705,1946,No,Male,0.802,11.625
706,1946,No,Male,-0.138,19.622
707,2030,Yes,Male,0.382,16.028
708,2030,No,Male,0.862,12.927
709,2030,No,Female,0.072,9.733
710,2030,No,Female,0.782,20.932
711,2030,No,Female,1.512,7.054
712,2030,No,Male,1.022,4.461
713,2030,No,Male,1.182,18.399
714,2030,No,Male,1.202,15.332
715,2030,No,Male,-0.218,11.536
716,2030,No,Male,0.402,15.893
717,2030,No,Male,-0.458,5.912
718,2030,No,Female,0.552,23.108
719,2030,No,Male,0.932,5.129
720,2030,No,Female,-0.828,9.32
721,2030,No,Male,-0.918,8.255
722,2030,No,Female,-0.118,4.756
723,2030,No,Female,0.972,9.184
724,2030,No,Male,-0.878,6.21
725,2030,No,Male,0.472,14.699
726,2030,No,Male,1.512,15.463
727,2030,No,Female,-0.188,2.796
728,2030,No,Female,-0.538,15.564
729,2030,No,Male,-0.538,13.452
730,2030,No,Female,0.712,16.257
731,2030,No,Male,0.172,19.887
732,2030,No,Female,-1.178,11.883
733,2030,Yes,Male,0.172,2.731
734,2030,No,Male,0.982,4.696
735,2030,No,Female,1.142,1.227
736,2030,No,Male,0.702,15.608
737,2030,No,Male,1.072,24.297
